precision@k,recall@k,f1@k,hit_rate@k,mrr@k,experiment,collection,k,chunk_size,chunk_overlap,splitter_type
0.3581,0.6396,0.452,0.6396,0.5743,token_1931_75,wb_token_1931_75,2,1931,75,token
0.2883,0.6892,0.3973,0.6892,0.5908,token_1931_75,wb_token_1931_75,3,1931,75,token
0.2189,0.7928,0.3361,0.7928,0.6147,token_1931_75,wb_token_1931_75,5,1931,75,token
0.1293,0.8694,0.2222,0.8694,0.6251,token_1931_75,wb_token_1931_75,10,1931,75,token
0.5541,0.5541,0.5541,0.5541,0.5541,token_2109_75,wb_token_2109_75,1,2109,75,token
0.4212,0.7117,0.518,0.7117,0.6329,token_2109_75,wb_token_2109_75,2,2109,75,token
0.3333,0.7658,0.4532,0.7658,0.6509,token_2109_75,wb_token_2109_75,3,2109,75,token
0.2333,0.8423,0.358,0.8423,0.6691,token_2109_75,wb_token_2109_75,5,2109,75,token
0.136,0.9279,0.2342,0.9279,0.6806,token_2109_75,wb_token_2109_75,10,2109,75,token
0.5045,0.5045,0.5045,0.5045,0.5045,token_2287_75,wb_token_2287_75,1,2287,75,token
0.3716,0.6306,0.458,0.6306,0.5676,token_2287_75,wb_token_2287_75,2,2287,75,token
0.2913,0.6847,0.3991,0.6847,0.5856,token_2287_75,wb_token_2287_75,3,2287,75,token
0.218,0.8018,0.3359,0.8018,0.6128,token_2287_75,wb_token_2287_75,5,2287,75,token
0.1315,0.9189,0.2271,0.9189,0.6287,token_2287_75,wb_token_2287_75,10,2287,75,token
0.5045,0.5045,0.5045,0.5045,0.5045,token_2465_75,wb_token_2465_75,1,2465,75,token
0.4009,0.6847,0.4955,0.6847,0.5946,token_2465_75,wb_token_2465_75,2,2465,75,token
0.3213,0.7658,0.4423,0.7658,0.6216,token_2465_75,wb_token_2465_75,3,2465,75,token
0.2243,0.8514,0.3481,0.8514,0.6405,token_2465_75,wb_token_2465_75,5,2465,75,token
0.1311,0.9099,0.2262,0.9099,0.6489,token_2465_75,wb_token_2465_75,10,2465,75,token
0.536,0.536,0.536,0.536,0.536,token_2643_75,wb_token_2643_75,1,2643,75,token
0.3784,0.6532,0.47,0.6532,0.5946,token_2643_75,wb_token_2643_75,2,2643,75,token
0.3018,0.7477,0.4212,0.7477,0.6261,token_2643_75,wb_token_2643_75,3,2643,75,token
0.209,0.8153,0.3264,0.8153,0.6414,token_2643_75,wb_token_2643_75,5,2643,75,token
0.1261,0.9144,0.2188,0.9144,0.6551,token_2643_75,wb_token_2643_75,10,2643,75,token
0.5135,0.5135,0.5135,0.5135,0.5135,token_2821_75,wb_token_2821_75,1,2821,75,token
0.3761,0.6486,0.467,0.6486,0.5811,token_2821_75,wb_token_2821_75,2,2821,75,token
0.2928,0.7162,0.4068,0.7162,0.6036,token_2821_75,wb_token_2821_75,3,2821,75,token
0.2081,0.8018,0.3241,0.8018,0.6232,token_2821_75,wb_token_2821_75,5,2821,75,token
0.1221,0.8919,0.212,0.8919,0.6351,token_2821_75,wb_token_2821_75,10,2821,75,token
0.536,0.536,0.536,0.536,0.536,token_3000_75,wb_token_3000_75,1,3000,75,token
0.3761,0.6757,0.476,0.6757,0.6059,token_3000_75,wb_token_3000_75,2,3000,75,token
0.2928,0.7568,0.4149,0.7568,0.6329,token_3000_75,wb_token_3000_75,3,3000,75,token
0.2063,0.8423,0.3258,0.8423,0.6529,token_3000_75,wb_token_3000_75,5,3000,75,token
0.1243,0.9369,0.2167,0.9369,0.6657,token_3000_75,wb_token_3000_75,10,3000,75,token
