precision@k,recall@k,f1@k,hit_rate@k,mrr@k,experiment,collection,k,chunk_size,chunk_overlap,splitter_type
0.7297,0.7297,0.7297,0.7297,0.7297,bge_m3_hier_small,wb_bge_m3_hier_small,1,500,200,hierarchical
0.7117,0.8514,0.7583,0.8514,0.7905,bge_m3_hier_small,wb_bge_m3_hier_small,2,500,200,hierarchical
0.6862,0.9189,0.7572,0.9189,0.8131,bge_m3_hier_small,wb_bge_m3_hier_small,3,500,200,hierarchical
0.5829,0.9369,0.6914,0.9369,0.8169,bge_m3_hier_small,wb_bge_m3_hier_small,5,500,200,hierarchical
0.4396,0.964,0.5741,0.964,0.8205,bge_m3_hier_small,wb_bge_m3_hier_small,10,500,200,hierarchical
