precision@k,recall@k,f1@k,hit_rate@k,mrr@k,experiment,collection,k,chunk_size,chunk_overlap,splitter_type
0.7658,0.7658,0.7658,0.7658,0.7658,F2LLM-v2-0.6B_hier_small,wb_F2LLM-v2-0.6B_hier_small,1,500,200,hierarchical
0.7072,0.8694,0.7613,0.8694,0.8176,F2LLM-v2-0.6B_hier_small,wb_F2LLM-v2-0.6B_hier_small,2,500,200,hierarchical
0.6607,0.9189,0.7387,0.9189,0.8341,F2LLM-v2-0.6B_hier_small,wb_F2LLM-v2-0.6B_hier_small,3,500,200,hierarchical
0.573,0.9595,0.6859,0.9595,0.8435,F2LLM-v2-0.6B_hier_small,wb_F2LLM-v2-0.6B_hier_small,5,500,200,hierarchical
0.4396,0.9775,0.5755,0.9775,0.8456,F2LLM-v2-0.6B_hier_small,wb_F2LLM-v2-0.6B_hier_small,10,500,200,hierarchical
