precision@k,recall@k,f1@k,hit_rate@k,mrr@k,experiment,collection,k,chunk_size,chunk_overlap,splitter_type
0.7477,0.7477,0.7477,0.7477,0.7477,multilingual-e5-large-instruct_hier_small,wb_multilingual-e5-large-instruct_hier_small,1,500,200,hierarchical
0.6959,0.8514,0.7478,0.8514,0.7995,multilingual-e5-large-instruct_hier_small,wb_multilingual-e5-large-instruct_hier_small,2,500,200,hierarchical
0.6381,0.8919,0.723,0.8919,0.8131,multilingual-e5-large-instruct_hier_small,wb_multilingual-e5-large-instruct_hier_small,3,500,200,hierarchical
0.5676,0.9369,0.6799,0.9369,0.8236,multilingual-e5-large-instruct_hier_small,wb_multilingual-e5-large-instruct_hier_small,5,500,200,hierarchical
0.4324,0.9685,0.5668,0.9685,0.8279,multilingual-e5-large-instruct_hier_small,wb_multilingual-e5-large-instruct_hier_small,10,500,200,hierarchical
