precision@k,recall@k,f1@k,hit_rate@k,mrr@k,experiment,collection,k,chunk_size,chunk_overlap,splitter_type,retrieval_mode,rerank
0.509,0.509,0.509,0.509,0.509,token_2821_75,wb_token_2821_75,1,2821,75,token,dense,False
0.3784,0.6532,0.47,0.6532,0.5811,token_2821_75,wb_token_2821_75,2,2821,75,token,dense,False
0.2943,0.7162,0.4081,0.7162,0.6021,token_2821_75,wb_token_2821_75,3,2821,75,token,dense,False
0.2081,0.8018,0.3241,0.8018,0.6217,token_2821_75,wb_token_2821_75,5,2821,75,token,dense,False
0.1216,0.8874,0.2111,0.8874,0.6332,token_2821_75,wb_token_2821_75,10,2821,75,token,dense,False
0.536,0.536,0.536,0.536,0.536,token_3000_75,wb_token_3000_75,1,3000,75,token,dense,False
0.3784,0.6802,0.479,0.6802,0.6081,token_3000_75,wb_token_3000_75,2,3000,75,token,dense,False
0.2928,0.7568,0.4149,0.7568,0.6336,token_3000_75,wb_token_3000_75,3,3000,75,token,dense,False
0.2072,0.8423,0.3269,0.8423,0.6535,token_3000_75,wb_token_3000_75,5,3000,75,token,dense,False
0.1248,0.9369,0.2174,0.9369,0.6661,token_3000_75,wb_token_3000_75,10,3000,75,token,dense,False
