precision@k,recall@k,f1@k,hit_rate@k,mrr@k,experiment,collection,k,chunk_size,chunk_overlap,splitter_type,retrieval_mode,rerank
0.8514,0.8514,0.8514,0.8514,0.8514,bge-m3+jinav3rerank,wb_bge-m3+jinav3rerank,1,500,200,hierarchical,dense,True
0.8063,0.9099,0.8408,0.9099,0.8806,bge-m3+jinav3rerank,wb_bge-m3+jinav3rerank,2,500,200,hierarchical,dense,True
0.7553,0.9459,0.8162,0.9459,0.8926,bge-m3+jinav3rerank,wb_bge-m3+jinav3rerank,3,500,200,hierarchical,dense,True
0.6396,0.955,0.7412,0.955,0.8949,bge-m3+jinav3rerank,wb_bge-m3+jinav3rerank,5,500,200,hierarchical,dense,True
0.4653,0.9685,0.5994,0.9685,0.8965,bge-m3+jinav3rerank,wb_bge-m3+jinav3rerank,10,500,200,hierarchical,dense,True
