precision@k,recall@k,f1@k,hit_rate@k,mrr@k,experiment,collection,k,chunk_size,chunk_overlap,splitter_type
0.7658,0.7658,0.7658,0.7658,0.7658,qwen3-embedding-0.6b_hier_small,wb_qwen3-embedding-0.6b_hier_small,1,500,200,hierarchical
0.723,0.8784,0.7748,0.8784,0.8221,qwen3-embedding-0.6b_hier_small,wb_qwen3-embedding-0.6b_hier_small,2,500,200,hierarchical
0.6667,0.9144,0.7455,0.9144,0.8341,qwen3-embedding-0.6b_hier_small,wb_qwen3-embedding-0.6b_hier_small,3,500,200,hierarchical
0.5721,0.9414,0.6824,0.9414,0.8406,qwen3-embedding-0.6b_hier_small,wb_qwen3-embedding-0.6b_hier_small,5,500,200,hierarchical
0.4378,0.955,0.5726,0.955,0.8426,qwen3-embedding-0.6b_hier_small,wb_qwen3-embedding-0.6b_hier_small,10,500,200,hierarchical
